Name,Tier,Size,Family,Series,vCPUs,MemoryGB,Generation,Architecture
Standard_DC4s_v2,Standard,DC4s_v2,GeneralPurposeConfidential,DCSv2,4,16,2,Intel
Standard_DC4s_v3,Standard,DC4s_v3,GeneralPurposeConfidential,DCSv3,4,32,3,Intel
Standard_DS4,Standard,DS4,GeneralPurpose,DS,8,28,1,Intel
Standard_DS4_v2,Standard,DS4_v2,GeneralPurpose,DSv2,8,28,2,Intel
Standard_E4-2ads_v5,Standard,E4-2ads_v5,MemoryOptimized,EADSv5,4,32,5,AMD
Standard_E4-2ads_v7,Standard,E4-2ads_v7,MemoryOptimized,Eadsv7,4,32,7,AMD
Standard_E4-2as_v4,Standard,E4-2as_v4,MemoryOptimized,EASv4,4,32,4,AMD
Standard_E4-2as_v5,Standard,E4-2as_v5,MemoryOptimized,EASv5,4,32,5,AMD
Standard_E4-2as_v7,Standard,E4-2as_v7,MemoryOptimized,Easv7,4,32,7,AMD
Standard_E4-2ds_v4,Standard,E4-2ds_v4,MemoryOptimized,EDSv4,4,32,4,Intel
Standard_E4-2ds_v5,Standard,E4-2ds_v5,MemoryOptimized,EDSv5,4,32,5,Intel
Standard_E4-2ds_v6,Standard,E4-2ds_v6,MemoryOptimized,Edsv6,4,32,6,Intel
Standard_E4-2s_v3,Standard,E4-2s_v3,MemoryOptimized,ESv3,4,32,3,Intel
Standard_E4-2s_v4,Standard,E4-2s_v4,MemoryOptimized,ESv4,4,32,4,Intel
Standard_E4-2s_v5,Standard,E4-2s_v5,MemoryOptimized,ESv5,4,32,5,Intel
Standard_E4-2s_v6,Standard,E4-2s_v6,MemoryOptimized,Esv6,4,32,6,Intel
Standard_E4ads_v5,Standard,E4ads_v5,MemoryOptimized,EADSv5,4,32,5,AMD
Standard_E4ads_v6,Standard,E4ads_v6,MemoryOptimized,Eadv6,4,32,6,AMD
Standard_E4ads_v7,Standard,E4ads_v7,MemoryOptimized,Eadsv7,4,32,7,AMD
Standard_E4as_v4,Standard,E4as_v4,MemoryOptimized,EASv4,4,32,4,AMD
Standard_E4as_v5,Standard,E4as_v5,MemoryOptimized,EASv5,4,32,5,AMD
Standard_E4as_v6,Standard,E4as_v6,MemoryOptimized,Eav6,4,32,6,AMD
Standard_E4as_v7,Standard,E4as_v7,MemoryOptimized,Easv7,4,32,7,AMD
Standard_E4a_v4,Standard,E4a_v4,MemoryOptimized,EAv4,4,32,4,AMD
Standard_E4bds_v5,Standard,E4bds_v5,MemoryOptimized,EBDSv5,4,32,5,Intel
Standard_E4bs_v5,Standard,E4bs_v5,MemoryOptimized,EBSv5,4,32,5,Intel
Standard_E4ds_v4,Standard,E4ds_v4,MemoryOptimized,EDSv4,4,32,4,Intel
Standard_E4ds_v5,Standard,E4ds_v5,MemoryOptimized,EDSv5,4,32,5,Intel
Standard_E4ds_v6,Standard,E4ds_v6,MemoryOptimized,Edsv6,4,32,6,Intel
Standard_E4ds_v7,Standard,E4ds_v7,MemoryOptimized,Edsv7,4,32,7,Intel
Standard_E4d_v4,Standard,E4d_v4,MemoryOptimized,EDv4,4,32,4,Intel
Standard_E4d_v5,Standard,E4d_v5,MemoryOptimized,EDv5,4,32,5,Intel
Standard_E4pds_v5,Standard,E4pds_v5,MemoryOptimized,EPDSv5,4,32,5,ARM
Standard_E4pds_v6,Standard,E4pds_v6,MemoryOptimized,Epdsv6,4,32,6,ARM
Standard_E4ps_v5,Standard,E4ps_v5,MemoryOptimized,EPSv5,4,32,5,ARM
Standard_E4ps_v6,Standard,E4ps_v6,MemoryOptimized,Epsv6,4,32,6,ARM
Standard_E4s_v3,Standard,E4s_v3,MemoryOptimized,ESv3,4,32,3,Intel
Standard_E4s_v4,Standard,E4s_v4,MemoryOptimized,ESv4,4,32,4,Intel
Standard_E4s_v5,Standard,E4s_v5,MemoryOptimized,ESv5,4,32,5,Intel
